,职位名,详细链接,公司名,工作地点,薪资,发布时间
74,财税服务咨询专员 (MJ000775),https://jobs.51job.com/nanjing-yhtq/121320847.html?s=01&t=0,南京云帐房网络科技有限公司,南京-雨花台区,4.5-6千/月,07-10
75,就业指导员,https://jobs.51job.com/nanjing-glq/116646598.html?s=01&t=0,武汉正厚软件技术有限公司,南京-鼓楼区,4-8千/月,07-10
76,硬件产品经理,https://jobs.51job.com/nanjing-jyq/119063243.html?s=01&t=0,北京会畅教育科技有限公司,南京-建邺区,1.5-3万/月,07-10
77,运营助理,https://jobs.51job.com/nanjing-yhtq/118459601.html?s=01&t=0,南京胜天易融信息技术有限公司,南京-雨花台区,4-6.5千/月,07-10
78,人事专员 包住宿 试用期无责底薪3500+绩效奖金加提成,https://jobs.51job.com/nanjing/121109332.html?s=01&t=0,南京顿柯思科技有限公司,南京,3.5-7千/月,07-10
79,新媒体运营总监,https://jobs.51job.com/nanjing-yhtq/122008689.html?s=01&t=0,玖壹叁陆零医学科技南京有限公司,南京-雨花台区,1-2万/月,07-10
80,大数据架构师,https://jobs.51job.com/nanjing-yhtq/117916831.html?s=01&t=0,江苏傲天数字科技有限公司,南京-雨花台区,2-2.5万/月,07-10
81,诚聘高薪网络运营专员（周末双休）,https://jobs.51job.com/nanjing-xwq/121876709.html?s=01&t=0,南京睿宏无限网络技术有限公司,南京-玄武区,6-8千/月,07-10
82,连锁药店选址拓展经理,https://jobs.51job.com/nanjing-yhtq/123447390.html?s=01&t=0,南京比硕科技有限公司,南京-雨花台区,1-1.5万/月,07-10
83,Java开发工程师,https://jobs.51job.com/nanjing/116722193.html?s=01&t=0,南京睿翊腾信息技术有限公司,南京,1-1.5万/月,07-10
84,平台培训经理,https://jobs.51job.com/nanjing-pkq/123304799.html?s=01&t=0,南京安元科技有限公司,南京-浦口区,1-1.5万/月,07-10
85,互联网运营总监,https://jobs.51job.com/nanjing-qhq/119194420.html?s=01&t=0,唯易智能科技（南京）有限公司,南京-秦淮区,1.5-2万/月,07-10
86,技术支持工程师（权籍）,https://jobs.51job.com/nanjing-yhtq/122869648.html?s=01&t=0,江苏中天吉奥信息技术股份有限公司...,南京-雨花台区,0.8-1万/月,07-10
87,商务运营经理,https://jobs.51job.com/nanjing/118205022.html?s=01&t=0,南京联成科技发展股份有限公司,南京,0.8-1.3万/月,07-10
