南宁东大中医肛肠医院有限公司,数据产品经理,南宁,3-4.5千/月,09-03
广州博纳信息技术有限公司,数据产品经理,广州,0.6-1.2万/月,09-03
赛友荟（广州）健康管理咨询有限公...,数据产品经理,广州-天河区,4.5-6千/月,09-03
北京云测信息技术有限公司,数据产品经理,厦门,2-4千/月,09-03
鸥游酒店管理（上海）有限公司,数据产品经理,上海,3-3.5万/月,09-03
佛山传媒集团,数据产品经理,佛山,10-15万/年,09-03
律正投资管理（上海）有限公司,数据产品经理,武汉,4.5-6千/月,09-03
永辉彩食鲜发展有限公司,数据产品经理,石家庄,3-4.5千/月,09-03
广东南方数码科技股份有限公司,数据产品经理,广州,0.5-1万/月,09-03
英雄互娱科技股份有限公司,数据产品经理,上海-静安区,1-2万/月,09-03
深圳市招华国际会展运营有限公司,数据产品经理,深圳-宝安区,1-2万/月,09-03
山西宇隆典汇信息科技有限公司,数据产品经理,太原,6-8千/月,09-03
江苏欣网视讯软件技术有限公司,数据产品经理,南京-秦淮区,0.8-1万/月,09-03
上海昂美软件科技有限公司,数据产品经理,上海-闵行区,4.5-6千/月,09-03
深圳白骑士大数据有限公司,数据产品经理,深圳-南山区,0.6-1.2万/月,09-03
重庆且动科技有限公司,数据产品经理,成都-青羊区,6-8千/月,09-03
长沙乐厨食品贸易有限公司,数据产品经理,长沙-雨花区,3.5-6千/月,09-03
沈阳曲牌商贸有限公司,数据产品经理,沈阳-大东区,5-6千/月,09-03
明阳智慧能源集团股份公司,数据产品经理,异地招聘,0.9-1.5万/月,09-03
江苏红豆实业股份有限公司,数据产品经理,无锡-锡山区,6-8千/月,09-03
昆明王府井百货有限责任公司,数据产品经理,昆明,2-3千/月,09-03
福州三美晨光文具礼品销售有限公司...,数据产品经理,福州,3.5-4.5千/月,09-03
贵州智诚科技有限公司,数据产品经理,贵阳,1.5-2.5万/月,09-03
理光图像技术（上海）有限公司深圳...,数据产品经理,深圳-龙岗区,0.8-1万/月,09-03
北京达晖康信科技有限公司,数据产品经理,北京-海淀区,4.5-6千/月,09-03
南京世和基因生物技术有限公司,数据产品经理,南京-浦口区,0.8-1.6万/月,09-03
广州紫馨医疗美容医院有限公司,数据产品经理,广州-天河区,4.5-6千/月,09-03
昆山双宇新信息科技有限公司,数据产品经理,上海,6-8千/月,09-03
CBC（北京）信用管理有限公司山东...,数据产品经理,济南-天桥区,3-4.5千/月,09-03
广州恒利信息科技有限公司,数据产品经理,广州-黄埔区,2-3万/月,09-03
湖北省零度银色冰雪实业有限公司,数据产品经理,武汉-洪山区,5-8千/月,09-03
毕蔼（上海）投资咨询有限公司,数据产品经理,上海,6-8千/月,09-03
广州景煜电子商务有限公司,数据产品经理,广州-天河区,4.5-6千/月,09-03
深圳印智互联信息技术有限公司,数据产品经理,深圳-南山区,1.5-2万/月,09-03
北京辰安科技股份有限公司武汉分公...,数据产品经理,武汉,6-8千/月,09-03
上海健麾信息技术股份有限公司,数据产品经理,上海-浦东新区,1.2-1.8万/月,09-03
北京华电通达科技有限公司,数据产品经理,北京-海淀区,1.5-2.5万/月,09-03
华平信息技术股份有限公司,数据产品经理,深圳-南山区,1-1.8万/月,09-03
上海微创医疗器械（集团）有限公司...,数据产品经理,上海,,09-03
京明禾投资管理咨询（上海）有限公...,数据产品经理,上海-徐汇区,12-18万/年,09-03
上海凤虎宙思数据科技有限公司,数据产品经理,上海-长宁区,3-4万/月,09-03
上海伊集院人才咨询服务有限公司,数据产品经理,上海-徐汇区,2-2.5万/月,09-03
广州市速特非凡信息科技有限公司,数据产品经理,广州-荔湾区,5-7千/月,09-03
山东途易商贸有限公司,数据产品经理,潍坊,6-8千/月,09-03
北京腾信软创科技股份有限公司,数据产品经理,深圳-福田区,1.5-2万/月,09-03
广东众图互联网工程设计有限公司,数据产品经理,佛山-南海区,10-30万/年,09-03
上海特易信息科技有限公司,数据产品经理,上海,4.5-6千/月,09-03
